0	1	2	86.02	-35.36
1	1	3	61.13	-11.12
2	1	4	76.5	-69.7
3	1	5	986.5	156.4
4	1	6	697.2	16.51
5	1	7	1318.0	300.0
6	1	8	1333.0	275.8
7	1	9	476.4	26.76
8	1	10	677.0	505.7
9	1	11	232.1	114.8
10	1	12	507.0	329.3
11	1	13	251.5	83.36
12	1	14	391.5	-30.48
13	1	15	255.7	65.33
14	1	16	206.6	-83.98
15	1	17	920.7	1139.0
16	1	18	287.77	-101.56
17	1	19	597.0	24.82
18	1	20	663.5	315.3
19	1	21	35.93	91.46
20	1	22	53.76	34.01
21	1	23	24.9	36.7
22	1	24	104.3	-78.45
23	1	25	11.44	106.8
24	1	26	661.5	-32.69
25	1	27	543.0	5541.0
26	1	28	153.6	-52.65
27	1	29	184.4	-7.481
28	1	30	354.55	-25.31
29	1	31	3025.0	139.93
30	1	32	335.8	128.0
31	1	33	479.5	-31.52
32	1	34	298.9	-72.88
33	1	35	526.5	50.49
34	1	36	689.0	-165.9
35	1	37	-4.189	47.41
36	1	38	125.8	-5.132
37	1	39	485.3	-31.95
38	1	40	-2.859	147.3
39	1	41	387.1	529.0
40	1	42	-450.4	-34.36
41	1	43	252.7	110.2
42	1	44	220.3	13.89
43	1	45	-5.869	30.74
44	1	46	390.9	27.97
45	1	47	553.3	-11.92
46	1	48	187.0	39.93
47	1	49	216.1	-23.61
48	1	50	92.99	-8.479
49	1	51	699.13	456.19
50	1	55	808.59	245.21
51	1	84	-1243.0	125.36
52	1	85	637.65	221.56
53	2	3	38.81	3.446
54	2	4	74.15	-113.6
55	2	5	524.1	457.0
56	2	6	787.6	-12.52
57	2	7	270.6	496.1
58	2	8	526.1	217.5
59	2	9	182.6	42.92
60	2	10	448.75	56.3
61	2	11	37.85	132.1
62	2	12	333.5	110.4
63	2	13	214.5	26.51
64	2	14	240.9	1.163
65	2	15	163.9	-28.7
66	2	16	61.11	-25.38
67	2	17	749.3	2000.0
68	2	18	280.5	-47.63
69	2	19	336.9	-40.62
70	2	20	318.9	1264.0
71	2	21	-36.87	40.25
72	2	22	58.55	-23.5
73	2	23	-13.99	51.06
74	2	24	-109.7	160.9
75	2	25	100.1	70.32
76	2	26	357.5	-1.996
77	2	28	76.3	16.623
78	2	30	262.9	82.64
79	2	33	183.8	174.6
80	2	34	31.14	41.38
81	2	35	179.0	64.07
82	2	36	-52.87	573.0
83	2	37	-66.46	124.2
84	2	38	359.3	-131.7
85	2	39	-70.45	249.0
86	2	40	449.4	62.4
87	2	41	48.33	1397.0
88	2	44	86.46	-16.11
89	2	46	200.2	9.755
90	2	47	268.1	132.4
91	2	48	-617.0	543.6
92	2	49	62.56	161.1
93	2	55	200.94	384.45
94	2	84	-861.46	-391.81
95	2	85	424.93	629.96
96	3	4	167.0	-146.8
97	3	5	636.1	89.6
98	3	6	637.35	-50.0
99	3	7	903.8	362.3
100	3	8	1329.0	25.34
101	3	9	25.77	140.1
102	3	10	347.3	23.39
103	3	11	5.994	85.84
104	3	12	287.1	18.12
105	3	13	32.14	52.13
106	3	14	161.7	-44.85
107	3	15	122.8	-22.31
108	3	16	90.49	-223.9
109	3	17	648.2	247.5
110	3	18	-4.449	31.87
111	3	19	212.5	-22.97
112	3	20	537.4	62.32
113	3	21	-18.81	4.68
114	3	22	-144.4	121.3
115	3	23	-231.9	288.5
116	3	24	3.0	-4.7
117	3	25	187.0	-97.27
118	3	26	168.04	10.38
119	3	27	194.9	1824.0
120	3	28	52.068	21.497
121	3	29	-10.43	28.41
122	3	30	-64.69	157.29
123	3	31	210.366	221.4
124	3	32	113.3	58.68
125	3	33	261.3	-154.2
126	3	34	154.26	-101.12
127	3	35	169.9	-2.504
128	3	36	383.9	-123.6
129	3	37	-259.1	395.8
130	3	38	389.3	-237.2
131	3	39	245.6	-133.9
132	3	40	22.67	140.6
133	3	41	103.5	317.6
134	3	42	-432.3	787.9
135	3	43	238.9	234.4
136	3	44	30.04	-23.88
137	3	45	-88.11	167.9
138	3	47	333.3	-86.88
139	3	49	-59.58	142.9
140	3	50	-39.16	23.93
141	3	55	360.82	47.05
142	4	5	803.2	25.82
143	4	6	603.25	-44.5
144	4	7	5695.0	377.6
145	4	8	884.9	244.2
146	4	9	-52.1	365.8
147	4	10	586.8	106.0
148	4	11	5688.0	-170.0
149	4	12	197.8	428.0
150	4	13	213.1	65.69
151	4	14	19.02	296.4
152	4	15	-49.29	223.0
153	4	16	23.5	109.9
154	4	17	664.2	762.8
155	4	18	52.8	49.8
156	4	19	6096.0	-138.4
157	4	20	872.3	89.86
158	4	21	-114.14	122.91
159	4	22	-111.0	140.78
160	4	23	-80.25	69.9
161	4	24	-141.3	134.7
162	4	25	-211.0	402.5
163	4	26	3629.0	-97.05
164	4	27	4448.0	-127.8
165	4	28	-9.451	40.675
166	4	29	393.6	19.56
167	4	30	48.49	128.8
168	4	31	4975.0	150.64
169	4	32	259.0	26.41
170	4	33	210.0	1112.0
171	4	34	-152.55	614.52
172	4	35	4284.0	-143.2
173	4	36	-119.2	397.4
174	4	37	-282.5	419.1
175	4	38	101.4	-157.3
176	4	39	5629.0	-240.2
177	4	40	-245.39	839.83
178	4	41	69.26	615.8
179	4	44	46.38	6.214
180	4	47	421.9	-19.45
181	4	49	-203.6	274.1
182	4	50	184.9	2.845
183	4	55	233.51	347.13
184	5	6	-137.1	249.1
185	5	7	353.5	-229.1
186	5	8	-259.7	-451.6
187	5	9	84.0	164.5
188	5	10	-203.6	529.0
189	5	11	101.1	245.4
190	5	12	267.8	139.4
191	5	13	28.06	237.7
192	5	14	8.642	-242.8
193	5	15	42.7	-150.0
194	5	16	-323.0	28.6
195	5	17	-52.39	-17.4
196	5	18	170.029	-132.3
197	5	19	6.712	185.4
198	5	20	199.0	-151.0
199	5	21	75.62	562.2
200	5	22	65.28	527.6
201	5	23	-98.12	742.1
202	5	24	143.1	856.3
203	5	25	123.5	325.7
204	5	26	256.5	261.6
205	5	27	157.1	561.6
206	5	28	488.9	609.8
207	5	29	147.5	461.6
208	5	30	-120.46	521.63
209	5	31	-318.93	267.6
210	5	32	313.5	501.3
211	5	33	202.1	524.9
212	5	34	727.8	68.95
213	5	35	-202.1	-25.87
214	5	36	74.27	389.3
215	5	37	225.8	738.9
216	5	38	44.78	649.7
217	5	39	-143.9	64.16
218	5	41	190.3	88.63
219	5	42	-817.7	1913.0
220	5	43	-1712.8	430.06
221	5	44	-504.2	796.9
222	5	45	72.96	794.4
223	5	46	-382.7	394.8
224	5	47	-248.3	517.5
225	5	49	104.7	-61.2
226	5	50	57.65	682.5
227	5	55	215.81	72.19
228	5	84	-1840.8	111.65
229	5	85	56.298	122.19
230	6	7	-180.95	289.6
231	6	8	-101.7	-265.2
232	6	9	23.39	108.65
233	6	10	306.42	-340.18
234	6	11	-10.72	249.63
235	6	12	179.7	227.8
236	6	13	-128.6	238.4
237	6	14	359.3	-481.65
238	6	15	-20.98	-370.3
239	6	16	53.9	-406.8
240	6	17	489.7	-118.1
241	6	18	580.48	-378.24
242	6	19	53.28	162.6
243	6	20	-202.0	339.8
244	6	21	-38.32	529.0
245	6	22	-102.54	669.9
246	6	23	-139.35	649.1
247	6	24	-44.76	709.6
248	6	25	-28.25	612.8
249	6	26	75.14	252.56
250	6	27	457.88	511.29
251	6	28	-31.09	914.2
252	6	29	17.5	448.6
253	6	30	-61.76	287.0
254	6	31	-119.2	240.8
255	6	32	212.1	431.3
256	6	33	106.3	494.7
257	6	34	-119.1	967.71
258	6	35	-399.3	695.0
259	6	36	-5.224	218.8
260	6	37	33.47	528.0
261	6	38	-48.25	645.9
262	6	39	-172.4	172.2
263	6	41	165.7	171.0
264	6	45	-52.1	762.7
265	6	48	37.63	420.0
266	6	49	-59.4	-89.24
267	6	50	-46.01	597.8
268	6	55	150.02	265.75
