CH3	1	0.9011	0.848
CH2	1	0.6744	0.54
CH	1	0.4469	0.228
C	1	0.2195	0.0
CH2=CH	2	1.3454	1.176
CH=CH	2	1.1167	0.867
CH2=C	2	1.1173	0.988
CH=C	2	0.8886	0.676
ACH	3	0.5313	0.4
AC	3	0.3652	0.12
ACCH3	4	1.2663	0.968
ACCH2	4	1.0396	0.66
ACCH	4	0.8121	0.348
OH	5	1.0	1.2
CH3OH	6	1.4311	1.432
H2O	7	0.92	1.4
ACOH	8	0.8952	0.68
CH3CO	9	1.6724	1.488
CH2CO	9	1.4457	1.18
CHO	10	0.998	0.948
CH3COO	11	1.9031	1.728
CH2COO	11	1.6764	1.42
HCOO	12	1.242	1.188
CH3O	13	1.145	1.088
CH2O	13	0.9183	0.78
CHO	13	0.6908	0.468
THF	13	0.9183	1.1
CH3NH2	14	1.5959	1.544
CH2NH2	14	1.3692	1.236
CHNH2	14	1.1417	0.924
CH3NH	15	1.4337	1.244
CH2NH	15	1.207	0.936
CHNH	15	0.9795	0.624
CH3N	16	1.1865	0.94
CH2N	16	0.9597	0.632
ACNH2	17	1.06	0.816
C5H5N	18	2.9993	2.113
C5H4N	18	2.8332	1.833
C5H3N	18	2.667	1.553
CH3CN	19	1.8701	1.724
CH2CN	19	1.6434	1.416
COOH	20	1.3013	1.224
HCOOH	20	1.528	1.532
CH2CL	21	1.4654	1.264
CHCL	21	1.238	0.952
CCL	21	1.0106	0.724
CH2CL2	22	2.2564	1.988
CHCL2	22	2.0606	1.684
CCL2	22	1.8016	1.448
CHCL3	23	2.87	2.41
CCL3	23	2.6401	2.184
CCL4	24	3.39	2.91
ACCL	25	1.1562	0.844
CH3NO2	26	2.0086	1.868
CH2NO2	26	1.7818	1.56
CHNO2	26	1.5544	1.248
ACNO2	27	1.4199	1.104
CS2	28	2.057	1.65
CH3SH	29	1.877	1.676
CH2SH	29	1.651	1.368
FURFURAL	30	3.168	2.484
DOH	31	2.4088	2.248
I	32	1.264	0.992
BR	33	0.9492	0.832
CH=-C	34	1.292	1.088
C=-C	34	1.0613	0.784
DMSO	35	2.8266	2.472
ACRY	36	2.3144	2.052
CL-(C=C)	37	0.791	0.724
C=C	2	0.6605	0.485
ACF	38	0.6948	0.524
DMF	39	3.0856	2.736
HCON(..	39	2.6322	2.12
CF3	40	1.406	1.38
CF2	40	1.0105	0.92
CF	40	0.615	0.46
COO	41	1.38	1.2
SIH3	42	1.6035	1.2632
SIH2	42	1.4443	1.0063
SIH	42	1.2853	0.7494
SI	42	1.047	0.4099
SIH2O	43	1.4838	1.0621
SIHO	43	1.303	0.7639
SIO	43	1.1044	0.4657
NMP	44	3.981	3.2
CCL3F	45	3.0356	2.644
CCL2F	45	2.2287	1.916
HCCL2F	45	2.406	2.116
HCCLF	45	1.6493	1.416
CCLF2	45	1.8174	1.648
HCCLF2	45	1.967	1.828
CCLF3	45	2.1721	2.1
CCL2F2	45	2.6243	2.376
AMH2	46	1.4515	1.248
AMHCH3	46	2.1905	1.796
AMHCH2	46	1.9637	1.488
AM(CH3)2	46	2.8589	2.428
AMCH3CH2	46	2.6322	2.12
AM(CH2)2	46	2.4054	1.812
C2H5O2	47	2.1226	1.904
C2H4O2	47	1.8952	1.592
CH3S	48	1.613	1.368
CH2S	48	1.3863	1.06
CHS	48	1.1589	0.748
MORPH	49	3.474	2.796
C4H4S	50	2.8569	2.14
C4H3S	50	2.6908	1.86
C4H2S	50	2.5247	1.58
NCO	51	1.0567	0.732
(CH2)2SU	55	2.6869	2.12
CH2CHSU	55	2.4595	1.808
